Enum,VKCode,Description,JsName
VK_BACK,0x08,BACKSPACE key,Backspace
VK_TAB,0x09,TAB key,Tab
VK_CLEAR,0x0C,CLEAR key,
VK_RETURN,0x0D,ENTER key,Enter
VK_PAUSE,0x13,PAUSE key,Pause
VK_CAPITAL,0x14,CAPS LOCK key,CapsLock
VK_KANA,0x15,IME Kana mode,
VK_HANGUEL,0x15,IME Hanguel mode (maintained for compatibility; use VK_HANGUL ),
VK_HANGUL,0x15,IME Hangul mode,
VK_IME_ON,0x16,IME On,aaaaaaa
VK_JUNJA,0x17,IME Junja mode,
VK_FINAL,0x18,IME final mode,
VK_HANJA,0x19,IME Hanja mode,
VK_KANJI,0x19,IME Kanji mode,
VK_IME_OFF,0x1A,IME Off,
VK_ESCAPE,0x1B,ESC key,Escape
VK_CONVERT,0x1C,IME convert,
VK_NONCONVERT,0x1D,IME nonconvert,
VK_ACCEPT,0x1E,IME accept,
VK_MODECHANGE,0x1F,IME mode change request,
VK_SPACE,0x20,SPACEBAR,Space
VK_PRIOR,0x21,PAGE UP key,PageUp
VK_NEXT,0x22,PAGE DOWN key,PageDown
VK_END,0x23,END key,End
VK_HOME,0x24,HOME key,Home
VK_LEFT,0x25,LEFT ARROW key,ArrowLeft
VK_UP,0x26,UP ARROW key,ArrowUp
VK_RIGHT,0x27,RIGHT ARROW key,ArrowRight
VK_DOWN,0x28,DOWN ARROW key,ArrowDown
VK_SELECT,0x29,SELECT key,MediaSelect
VK_PRINT,0x2A,PRINT key,
VK_EXECUTE,0x2B,EXECUTE key,
VK_SNAPSHOT,0x2C,PRINT SCREEN key,PrintScreen
VK_INSERT,0x2D,INS key,Insert
VK_DELETE,0x2E,DEL key,Delete
VK_HELP,0x2F,HELP key,Help
,0x30,0 key,Digit0
,0x31,1 key,Digit1
,0x32,2 key,Digit2
,0x33,3 key,Digit3
,0x34,4 key,Digit4
,0x35,5 key,Digit5
,0x36,6 key,Digit6
,0x37,7 key,Digit7
,0x38,8 key,Digit8
,0x39,9 key,Digit9
,0x41,A key,KeyA
,0x42,B key,KeyB
,0x43,C key,KeyC
,0x44,D key,KeyD
,0x45,E key,KeyE
,0x46,F key,KeyF
,0x47,G key,KeyG
,0x48,H key,KeyH
,0x49,I key,KeyI
,0x4A,J key,KeyJ
,0x4B,K key,KeyK
